Simulation_Set,"Dataset","RF","wRF","Quartet_Dist","Mean_SH","Mean_UF","Resolved_Nodes"
Set_12345,"Unfiltered_Baseline",4,457093882.102714,66207,99.9911764705882,99.5882352941177,33
Set_12345,"Elite_all_PASS",0,457093930.265205,66045,99.9147058823529,100,34
Set_12345,"Noisy_all_FAIL",6,457093946.228903,66269,92.5,95,27
Set_12345,"clades_PASS",0,457093942.505961,66045,99.9470588235294,100,34
Set_12345,"clades_FAIL",6,457093861.255699,66303,98.9441176470588,98.0294117647059,31
Set_12345,"blc_PASS",4,457093872.961875,66207,99.9647058823529,99.7941176470588,33
Set_12345,"blc_FAIL",0,457093957.487674,66045,99.2794117647059,99.3529411764706,33
Set_12345,"clades_PASS_blc_FAIL",0,457093961.090515,66045,99.1647058823529,99.4411764705882,32
Set_12345,"blc_PASS_clades_FAIL",8,457093819.094924,66427,98.2647058823529,98.4411764705882,31
Set_12345,"FAIL_at_least_one",4,457093879.71336,66207,99.5117647058824,99.5,32
Set_12345,"PASS_at_least_one",4,457093882.46298,66207,100,99.8823529411765,34
Set_67890,"Unfiltered_Baseline",4,457093899.21143,66207,100,97.7352941176471,32
Set_67890,"Elite_all_PASS",0,457093959.818193,66045,99.8470588235294,99.9117647058823,34
Set_67890,"Noisy_all_FAIL",6,457093948.67335,66269,93.1058823529412,95.5294117647059,28
Set_67890,"clades_PASS",0,457093960.068413,66045,99.5176470588235,99.5294117647059,33
Set_67890,"clades_FAIL",10,457093856.043499,66468,99.8323529411765,99.0588235294118,32
Set_67890,"blc_PASS",8,457093884.714837,66307,98.7,98.6176470588235,31
Set_67890,"blc_FAIL",2,457093957.252927,66173,98.8558823529412,98.9117647058823,32
Set_67890,"clades_PASS_blc_FAIL",2,457093960.510666,66173,98.8088235294118,98.9411764705882,32
Set_67890,"blc_PASS_clades_FAIL",10,457093835.731566,66468,99.7970588235294,99.3823529411765,32
Set_67890,"FAIL_at_least_one",10,457093881.081553,66468,97.8470588235294,98.3235294117647,32
Set_67890,"PASS_at_least_one",4,457093904.443934,66207,99.9882352941176,97.5294117647059,32
Set_23456,"Unfiltered_Baseline",2,457093853.982289,66111,99.8941176470588,99.6470588235294,34
Set_23456,"Elite_all_PASS",0,457093958.359558,66045,99.7147058823529,99.7058823529412,34
Set_23456,"Noisy_all_FAIL",12,457093952.536065,66941,93.2,96.1764705882353,27
Set_23456,"clades_PASS",0,457093958.609272,66045,99.9411764705882,99.9705882352941,34
Set_23456,"clades_FAIL",8,457093824.338011,66310,99.4882352941176,98.8235294117647,31
Set_23456,"blc_PASS",4,457093861.644287,66177,98.6441176470588,98.5588235294118,31
Set_23456,"blc_FAIL",0,457093958.407544,66045,99.2588235294118,99.3823529411765,32
Set_23456,"clades_PASS_blc_FAIL",0,457093961.863402,66045,99.2176470588235,99.5294117647059,33
Set_23456,"blc_PASS_clades_FAIL",8,457093838.992431,66310,99.7882352941176,98.5294117647059,31
Set_23456,"FAIL_at_least_one",6,457093840.145588,66244,98.6088235294118,97.9411764705882,31
Set_23456,"PASS_at_least_one",2,457093855.441865,66111,99.4088235294118,99.2058823529412,31
Set_78901,"Unfiltered_Baseline",2,457093852.018388,66173,98.8411764705882,98.8235294117647,33
Set_78901,"Elite_all_PASS",0,457093931.059784,66045,97.4676470588235,98.6470588235294,31
Set_78901,"Noisy_all_FAIL",20,457093953.379777,70859,93.2852941176471,94.5294117647059,25
Set_78901,"clades_PASS",0,457093946.576996,66045,99.8205882352941,99.8235294117647,34
Set_78901,"clades_FAIL",4,457093805.915838,66269,97.8441176470588,98.6176470588235,32
Set_78901,"blc_PASS",2,457093844.651465,66173,99.9235294117647,99.3529411764706,32
Set_78901,"blc_FAIL",0,457093958.880499,66045,99.1294117647059,99.4117647058823,33
Set_78901,"clades_PASS_blc_FAIL",0,457093961.571022,66045,99.3117647058824,99.5882352941177,33
Set_78901,"blc_PASS_clades_FAIL",4,457093791.231166,66269,98.8529411764706,98.5294117647059,32
Set_78901,"FAIL_at_least_one",2,457093811.752423,66173,98.3529411764706,98.2058823529412,32
Set_78901,"PASS_at_least_one",2,457093813.564558,66173,98.7794117647059,98.7352941176471,32
Set_34567,"Unfiltered_Baseline",2,457093872.050868,66169,99.9088235294118,98.6176470588235,31
Set_34567,"Elite_all_PASS",0,457093958.544143,66045,98.9235294117647,99.1470588235294,32
Set_34567,"Noisy_all_FAIL",10,457093951.310854,66373,89.8411764705882,95.1176470588235,25
Set_34567,"clades_PASS",0,457093957.97916,66045,99.1852941176471,99.4411764705882,33
Set_34567,"clades_FAIL",6,457093816.851871,66302,99.9735294117647,99.3823529411765,33
Set_34567,"blc_PASS",2,457093855.172132,66169,99.95,95.6470588235294,31
Set_34567,"blc_FAIL",2,457093958.085968,66173,97.2941176470588,98.5294117647059,32
Set_34567,"clades_PASS_blc_FAIL",0,457093960.379497,66045,96.2794117647059,98.2058823529412,32
Set_34567,"blc_PASS_clades_FAIL",6,457093807.60426,66302,99.9470588235294,98.6176470588235,33
Set_34567,"FAIL_at_least_one",6,457093839.844524,66302,99.9588235294118,97,31
Set_34567,"PASS_at_least_one",2,457093865.588142,66169,99.9147058823529,98.8823529411765,31
